13957196316	13957196317
13957196316	13957196317
13957196316	13957196317
13957196316	13957196317
1	2	6
1	2	10
2	3	7
2	3	10
4	5	6
34	35	9
76	77	9
1	2	-10
1	2	-8
1	2	-6
1	2	-4
1	2	-2
1	2	6
1	2	10
2	3	-8
2	3	-5
2	3	-2
2	3	7
2	3	10
3	4	-8
3	4	-4
4	5	-9
4	5	-4
4	5	6
5	6	-10
5	6	-4
6	7	-6
7	8	-8
8	9	-5
9	10	-8
10	11	-10
11	12	-4
17	18	-4
24	25	-9
34	35	9
35	36	-4
41	42	-10
54	55	-6
76	77	9
129	130	-8
135	136	-8
160	161	-5
197	198	-4
227	228	-4
260	261	-5
724	725	-9
1	2	-10
1	2	-8
1	2	-6
1	2	-4
1	2	-2
1	2	6
1	2	10
2	3	-8
2	3	-5
2	3	-2
2	3	7
2	3	10
3	4	-8
3	4	-4
4	5	-9
4	5	-4
4	5	6
5	6	-10
5	6	-4
6	7	-6
7	8	-8
8	9	-5
9	10	-8
10	11	-10
11	12	-4
17	18	-4
24	25	-9
34	35	9
35	36	-4
41	42	-10
54	55	-6
76	77	9
129	130	-8
135	136	-8
160	161	-5
197	198	-4
227	228	-4
260	261	-5
724	725	-9
10668	10669	3
10668	10669	3
6635770	6635771	-7
1	2	-20
1	2	-18
1	2	-16
1	2	-14
1	2	-12
1	2	-10
1	2	-8
1	2	-6
1	2	-4
1	2	-2
1	2	6
1	2	10
1	2	12
1	2	14
1	2	18
1	2	20
2	3	-20
2	3	-17
2	3	-14
2	3	-11
2	3	-8
2	3	-5
2	3	-2
2	3	7
2	3	10
2	3	13
2	3	19
3	4	-20
3	4	-16
3	4	-12
3	4	-8
3	4	-4
3	4	12
3	4	20
4	5	-19
4	5	-14
4	5	-9
4	5	-4
4	5	6
4	5	11
5	6	-16
5	6	-10
5	6	-4
5	6	14
5	6	20
6	7	-20
6	7	-13
6	7	-6
6	7	15
7	8	-16
7	8	-8
8	9	-14
8	9	-5
8	9	13
9	10	-18
9	10	-8
9	10	12
10	11	-10
10	11	12
11	12	-16
11	12	-4
11	12	20
12	13	-12
12	13	14
13	14	-12
14	15	-11
14	15	19
15	16	-16
16	17	-16
16	17	18
17	18	-4
17	18	14
18	19	-18
18	19	20
19	20	-12
20	21	-17
21	22	-20
23	24	-16
24	25	-9
26	27	-14
26	27	13
27	28	-20
34	35	9
35	36	-4
41	42	-10
44	45	-14
47	48	-16
48	49	15
49	50	12
53	54	14
54	55	-6
76	77	9
99	100	-12
129	130	-8
135	136	-8
139	140	-12
155	156	20
160	161	-5
186	187	-13
197	198	-4
227	228	-4
241	242	-20
260	261	-5
272	273	-17
482	483	-17
515	516	-16
529	530	-18
531	532	-20
580	581	-19
696	697	18
724	725	-9
1002	1003	-13
1638	1639	-19
1714	1715	9
1737	1738	18
1824	1825	-9
2040	2041	14
2139	2140	-12
2145	2146	-8
2241	2242	-20
2411	2412	-4
2837	2838	-4
2950	2951	10
3506	3507	-17
3762	3763	6
4096	4097	-16
4552	4553	-4
4809	4810	-8
5420	5421	-17
5726	5727	-5
5956	5957	9
5957	5958	-4
7924	7925	-9
10668	10669	3
10927	10928	-16
12126	12127	-5
12873	12874	-8
13664	13665	-14
14169	14170	-8
14561	14562	14
16394	16395	-11
16691	16692	20
17860	17861	13
18994	18995	9
21337	21338	18
22426	22427	-18
24098	24099	13
24587	24588	-4
25937	25938	-4
26074	26075	9
32378	32379	-8
32775	32776	-8
33673	33674	-8
38285	38286	14
43920	43921	9
44299	44300	-12
45993	45994	-8
46577	46578	-10
46776	46777	-4
48007	48008	-8
48699	48700	-12
49736	49737	-2
49900	49901	9
65537	65538	-4
73842	73843	15
75467	75468	-4
78294	78295	-6
81027	81028	12
82504	82505	-4
85904	85905	-14
86406	86407	19
86554	86555	9
99995	99996	20
150280	150281	17
4980412	4980413	17
6635770	6635771	-7
174980680	174980681	-7
6635770	6635771	-7
174980680	174980681	-7
2	3	-5
8	9	-5
160	161	-5
260	261	-5
5726	5727	-5
12126	12127	-5
577738260	577738261	-5
24430928838	24430928839	5
13957196316	13957196317	-3
13957196316	13957196317	-3
2962089521722084980	2962089521722084981	-3
13957196316	13957196317	-3
2962089521722084980	2962089521722084981	-3
